,x,y
5632,4546.653675373371,712.8986052144276
5122,5309.681524338712,862.6709035091293
5635,4533.129705563898,618.9613459150469
5125,5395.673024364428,941.0282843513354
5128,6726.792651111452,1812.0595727774744
5641,5918.848874293612,1235.9046940730595
5644,6139.670014394053,1248.7939050790917
5647,6432.183192615414,1643.1357680260203
5137,6424.754032880855,1143.0951665972725
5650,6044.311094730279,889.9287213267991
5140,6604.66543509033,1116.1808602957433
5653,4823.620636718513,926.4784907272854
5143,8286.21348930247,316.2508388108353
5656,4974.050115818012,979.0041227322923
5659,7441.896430521881,1916.27408204992
5662,7274.903439680488,1931.153888083017
5665,6099.9585052935245,1515.163714892023
5155,5511.363159230152,495.24801001142
5668,5679.237604072448,410.35203953761163
5671,5915.6852178986,587.675385026148
5161,5619.840376394324,562.394836062705
5674,5191.320541252473,1628.3479602622813
5164,5741.084238891552,642.410411437872
5677,4993.680061037975,1673.2213655485004
5167,6761.644857362571,2004.980866380427
5680,5127.671679210638,1491.8070539048472
5170,6587.809089284004,1827.7866541078583
5683,5296.929254814685,1491.5005639677104
5173,6856.561021990649,1980.492918471249
5686,5483.1368062372885,1503.1306759937531
5176,7129.977237910215,1921.4236763675744
5689,6960.072896137447,1357.1516327940783
5179,8567.317166053195,113.1697795180158
5692,5812.406082901149,1911.9764130005087
5182,8433.402291975819,163.8562143539063
5695,5668.767906889457,1978.8874486838813
5185,6448.840045910179,2159.6949080513177
5698,5912.541848736582,838.7642108436308
5188,6571.2364402443745,762.5059756994204
5701,5913.164858644595,751.1123215975042
5191,4868.344205195274,361.8348139254697
5704,5786.708616163694,774.3735326990499
5194,6229.255954729472,899.2247775487033
5707,4722.171440157701,1061.5775194333503
5197,6432.835686926035,844.1174855731497
5710,4930.016847208801,1060.81981328201
5200,8851.538883130372,63.43556816357113
5713,6191.957598572498,1684.4485518260517
5203,7495.071047394,228.09392568875188
5716,6111.660441176305,1621.9556942564896
5719,7197.622025360623,814.596808234474
5209,7950.647520825313,-19.83822857526185
5722,7050.440248987027,903.3687076256198
5212,4908.98286321075,869.7971875917157
5725,7753.9335636428,353.14363916928045
5215,7544.939859386775,2081.481060508082
5728,7557.334673528296,364.06790206598055
5218,4885.586468619574,520.0008926027646
5731,6673.628609829698,587.3514175153178
5221,6182.666444917846,591.4078242456466
5734,7723.753290508831,873.536057351415
5224,7815.876791631898,2136.282976745012
5737,7550.619407680087,986.1743738778476
4714,7088.005582361178,588.499594117478
5227,7683.884642340191,2115.395876649846
5740,7730.5547423880635,1977.4430531255668
5230,6689.609044533638,2392.524542435137
5743,7593.271403812612,1936.9136553027909
5233,6912.45462036594,566.7358486959881
5746,5921.725569998942,1334.3672781229566
5236,4501.3744460442385,1024.1942950569537
5749,7892.158167145256,143.95835115808674
5239,5966.928247196126,2078.487002981322
5752,7992.342305138637,86.91826170769365
5242,6073.7979622956855,2158.58442812569
5755,6248.199986475236,1434.8572665071933
5245,4743.040539220788,1896.8559910129568
5248,4740.868238112897,1806.4565415261848
5251,6199.101531368176,2399.4951510715387
5764,5387.522199898039,1401.4707881124943
5254,6278.424099568923,2514.4492660514543
5767,7026.839456188304,839.3124519835227
5257,6809.341427869339,525.9686038962639
5260,7923.322215776124,660.2113760595382
5263,7760.636444728553,674.1747524855617
5776,6117.911276207054,512.1826424396311
5266,5432.652964258777,1291.0839782138512
5779,6278.289688616289,503.47928144778007
5269,5594.9202205329775,1282.0244447602613
5782,6395.085241000436,454.3055844118616
5272,6546.272014712628,674.6445682212525
5785,6475.261577072633,375.04689816570107
5275,6876.904680142924,1858.4570504895848
5788,6937.642912661221,269.91319598801323
